BRAHMS,COLLECTOR,NUMBER,SPECIES,COUNTRY,MAJORAREA,LOCNOTES,LLRES,QDS,LATDEC,LONGDEC,updatedProv,Check
813,Curator Pretoria Bot. Garden,PRE 43343,Xanthium strumarium L.,South Africa,Transvaal,DIVISION OF BOTANY,,,0,0,,
814,Curator Pretoria Bot. Garden,7924,Xanthium strumarium L.,South Africa,Transvaal,DIVISION OF BOTANY,,,0,0,,
823,Curator Pretoria Bot. Garden,PRE 43352,Xanthium strumarium L.,South Africa,Transvaal,LABORATORY GROUNDS,,,0,0,,
828,"van Niekerk, M.",TRV 7523,Callilepis lancifolia Burtt Davy,South Africa,Transvaal,GREAT OLIFANTS RIVER,,,0,0,,
829,"Crawley, V.G.",TRV 10405,Callilepis lancifolia Burtt Davy,South Africa,Transvaal,WOLHUTERSKOP,1/4dg,2527DA,-25.62166,27.62166,North West,y
899,"Breijer, H.G.",TRV 21621,Geigeria burkei Harv. subsp. fruticulosa Merxm.,South Africa,Transvaal,BLINKWATER; BRAK RIVER; BADEN BADEN FARM,,,0,0,,
928,"Pole-Evans, I.B.",H13544,Zinnia peruviana (L.) L.,South Africa,Transvaal,KAALFONTEIN,,,0,0,,
939,"Jenkins, T.J.",TRV 6907,Zinnia peruviana (L.) L.,South Africa,Transvaal,BOKFONTEIN,1/4dg,2527DB,-25.62166,27.87166,,
950,"Pegler, A.M.",1049,Zinnia peruviana (L.) L.,South Africa,Transvaal,CROCODILE RIVER,1/4dg,2527BA,-25.12166,27.62166,,
1318,"Rogers, F.A.",18917,Anisopappus junodii Hutch.,South Africa,Transvaal,THABINA,,,0,0,,
1423,Curator Pretoria Bot. Garden,PRE 43259,Callilepis leptophylla Harv.,South Africa,Transvaal,HATHERLEY,,,0,0,,
1425,"Coetzee, B.J.",427,Callilepis leptophylla Harv.,South Africa,Transvaal,UITKOMST 499 TO FARM; NABY SW. HOEKPAAL,1/4dg,2527DC,-25.87166,27.62166,,
1426,"Coetzee, B.J.",V796,Callilepis leptophylla Harv.,South Africa,Transvaal,UITKOMST 499 TO FARM,1/4dg,2527DD,-25.87166,27.87166,,
1481,"Schlechter, F.R.R.",3817,Cotula hispida (DC.) Harv.,South Africa,Transvaal,KLEIN OLIFANTS RIVER,,,0,0,,
1564,"Mogg, A.O.D.",PRE 43336,Streptocarpus confusus Hilliard subsp. confusus,South Africa,Transvaal,MAMBITINI FOR,,,0,0,,
1631,"Watt, J.M.",1805,Streptocarpus cyaneus S.Moore subsp. polackii (B.L.Burtt) We,South Africa,Transvaal,BRONDAL DIST.,1/4dg,2530BD,-25.37166,30.87166,Mpumalanga,y
1643,"Marais, W.",84,Streptocarpus cyaneus S.Moore subsp. polackii (B.L.Burtt) We,South Africa,Transvaal,CYPRUS POINT,,,0,0,,
1916,"Pole-Evans, I.B.",PRE 15808,Wahlenbergia virgata Engl.,South Africa,Transvaal,THABINA,,,0,0,,
1924,"Schlechter, F.R.R.",3566,Wahlenbergia virgata Engl.,South Africa,Transvaal,MOOIFONTEIN,,,0,0,,
1972,"Prosser, L.N.",1196,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,DEWESTHOF TOWNSHIP; FOOT OF THE KOPJE NR. THE GOLF COURSE,,,0,0,,
1976,"Leistner, O.A.",151,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,WATERBERG DIST.; KAREEFONTEIN; 2 MI. N. OF KAREEFONTEIN,,,0,0,Limpopo,y
1983,"Pole-Evans, I.B.",PRE 16805,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,KAALFONTEIN,,,0,0,,
2137,"Pott-Leendertz, R.",5237,Wahlenbergia virgata Engl.,South Africa,Transvaal,MAVIERIESTAD EAST,,,0,0,,
2260,"van Niekerk, M.",TRV 7512,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,GREAT OLIFANTS RIVER,,,0,0,,
2266,"Burtt Davy, J.",222,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,CROCODILE RIVER,,,0,0,,
2270,Thode,A1437,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,MARICO DIST.; RD. TO MAFEKING,,,0,0,North West,y
2271,"Story, R.",785,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,RUSTENBURG DIST.; ELANDS RIVER; 2 MI. E. OF ELANDS RIVER RD.KOSTER TO MABAALSTAD,,,0,0,North West,y
2328,"van Niekerk, M.",TRV 7510,Wahlenbergia banksiana A.DC.,South Africa,Transvaal,GREAT OLIFANTS RIVER,,,0,0,,
2332,"Schlechter, F.R.R.",3736,Wahlenbergia banksiana A.DC.,South Africa,Transvaal,NIEUWERUST,,,0,0,,
2336,"Coetzee, B.J.",491,Wahlenbergia banksiana A.DC.,South Africa,Transvaal,UITKOMST 499 TO FARM; VLAKTE BY PICADILLY CIRCUS,1/4dg,2527DD,-25.87166,27.87166,,
2464,"Marloth, H.W.R.",5056,Tarchonanthus camphoratus L.,South Africa,Transvaal,KLEINFONTEIN,,,0,0,,
2474,"Coetzee, B.J.",825,Tarchonanthus camphoratus L.,South Africa,Transvaal,UITKOMST 499 TO FARM; EERSTE VALLEI WES VAN APIESKLOOF,1/4dg,2527DD,-25.87166,27.87166,,
2561,"Gerstner, J.",6110,Tarchonanthus trilobus DC. var. galpinii (Hutch. & E.Phillip,South Africa,Transvaal,HAPPY REST,,,0,0,,
2562,"Mogg, A.O.D.",PRE 43414,Tarchonanthus trilobus DC. var. galpinii (Hutch. & E.Phillip,South Africa,Transvaal,DRAKENSBERG; BERLIN FOR. STA.,,,0,0,,
2638,"Sutton, J.D.",880,Tarchonanthus parvicapitulatus P.P.J.Herman,South Africa,Transvaal,OTTOSHOOP,,,0,0,,
2979,"van der Schijff, H.P.",1272,Melanthera scandens (Schumach. & Thonn.) Roberty subsp. dreg,South Africa,Transvaal,KRUGER NAT. PARK; OKAVANGO VALLEY; IN SPRUIT FAAI,,,0,0,,
3124,"van der Schijff, H.P.",2800,Aspilia mossambicensis (Oliv.) Wild,South Africa,Transvaal,KRUGER NAT. PARK; SHANGANI,,,0,0,,
3128,"van der Schijff, H.P.",1891,Aspilia mossambicensis (Oliv.) Wild,South Africa,Transvaal,KRUGER NAT. PARK; KLOPPERFONTEIN,,,0,0,,
3217,"van der Schijff, H.P.",871,Eclipta prostrata (L.) L.,South Africa,Transvaal,KRUGER NAT. PARK; BUMS WATERGAT,,,0,0,,
3219,"van der Schijff, H.P.",3148,Eclipta prostrata (L.) L.,South Africa,Transvaal,KRUGER NAT. PARK DIS; SHINGWIDZI RIVER; LEBOMBADRIF,,,0,0,,
3227,"Brynard, A.M.",4323,Eclipta prostrata (L.) L.,South Africa,Transvaal,KRUGER NAT. PARK; NUNWENI; RONDOM WATERPOEL,,,0,0,,
3404,"Gilfillan, D.F.",PRE 43376,Cotula sp.,South Africa,Transvaal,VEREENIGING DIST.; VAAL RIVER,,,0,0,Gauteng,y
3521,"van der Schijff, H.P.",3143,Cotula anthemoides L.,South Africa,Transvaal,KRUGER NAT. PARK; SKUZWEDJI RIVIER; LEBOMBODRIF,,,0,0,,
3534,"Breijer, H.G.",TRV 27059,Cotula anthemoides L.,South Africa,Transvaal,ROOIPLAAT,,,0,0,,
3536,"Schoeman, N.",TRV 2826,Cotula anthemoides L.,South Africa,Transvaal,RIETFONTEIN,,,0,0,,
3538,"Mogg, A.O.D.",14923,Cotula anthemoides L.,South Africa,Transvaal,BEYNERSPOORT,,,0,0,,
3773,"Coetzee, B.J.",96,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,UITKOMST 499 TO FARM; BOPUNT VAN MEES S. OW. KLOFIE,1/4dg,2527DD,-25.87166,27.87166,,
3883,"Schlechter, F.R.R.",3857,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,ELANDSGRUITBERG,,,0,0,,
3887,"Rogers, F.A.",TRV 4777,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,VLAKFONTEIN,,,0,0,,
3892,"Schlechter, F.R.R.",TRV 5476,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,KLEIN OLIFANTS RIVER,,,0,0,,
3929,"Murray, D.P.",PRE 43387,Wahlenbergia undulata (L.f.) A.DC.,South Africa,Transvaal,GEDULD DAM,,,0,0,,
4487,"van Vuuren, D.R.J.",316,Bidens pilosa L.,South Africa,Transvaal,MAGALIESBERG; BRITS DIST.; NOORDLIGGENDE KLOOF JACKSONSTUIN,1/4dg,2527DA,-25.62166,27.62166,North West,
4496,"Coetzee, B.J.",383,Bidens pilosa L.,South Africa,Transvaal,UITKOMST 499 TO FARM; DUNNINGKAMP,1/4dg,2527DD,-25.87166,27.87166,,
4585,"Coetzee, B.J.",596,Galinsoga parviflora Cav.,South Africa,Transvaal,SLANGSPRUIT; UITKOMST 499 JQ BOS BY BRUG OOR SLANGSPRUIT BY KAMP,1/4dg,2527DD,-25.87166,27.87166,,
4739,"van Vuuren, D.R.J.",231,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,MAGALIESBERG; BRITS DIST.; JACKSONSTUIN,,,0,0,North West,y
4782,"Jenkins, T.J.",TRV 6914,Schistostephium crataegifolium (DC.) Fenzl ex Harv.,South Africa,Transvaal,BOKFONTEIN,1/4dg,2527DB,-25.62166,27.87166,,
4839,"Burtt Davy, J.",221,Schistostephium crataegifolium (DC.) Fenzl ex Harv.,South Africa,Transvaal,CROCODILE AND MAGALIES RIVERS,,,0,0,,
4867,"Scheepers, J.C.",968,Schistostephium crataegifolium (DC.) Fenzl ex Harv.,South Africa,Transvaal,FLORISBAD; EASTERN CAPE; WESTFALIA ESTATE,,,0,0,,
4901,Drege,6341,Cenia microglossa DC.,South Africa,Transvaal,STORMBERG EN WITTBERG,,,0,0,,
4908,"Flanagan, H.G.",1475,Cenia microglossa DC.,South Africa,Transvaal,VAAL RIVER; HEBRON,,,0,0,,
4910,"Schlechter, F.R.R.",3471(TRV13170),Cenia microglossa DC.,South Africa,Transvaal,WATERVAL RIVER,,,0,0,,
4914,"Acocks, J.P.H.",136,Cenia microglossa DC.,South Africa,Transvaal,VEREENIGING; LEEUWKUIL,,,0,0,Gauteng,y
5018,"Prosser, L.N.",1598,Wahlenbergia sp.,South Africa,Transvaal,HARTEBEESTPOORT DAM,1/4dg,2527DD,-25.87166,27.87166,,
5019,"Young, R.G.N.",PRE 27491,Wahlenbergia sp.,South Africa,Transvaal,MAGALIESBERG; RUSTENBURG DIST.; BERGHEIM FARM NR. KROONDAL,,,0,0,North West,y
5020,"Schlechter, F.R.R.",3736,Wahlenbergia sp.,South Africa,Transvaal,NIEUWERUST,,,0,0,,
5023,"Leendertz, R.",TRV 5126,Wahlenbergia sp.,South Africa,Transvaal,RIETFONTEIN SUID,,,0,0,,
5026,"Jenkins, T.J.",TRV 6913,Wahlenbergia sp.,South Africa,Transvaal,BOKFONTEIN,1/4dg,2527DB,-25.62166,27.87166,,
5213,"Schlechter, F.R.R.",3566,Wahlenbergia sp.,South Africa,Transvaal,MOOIFONTEIN,,,0,0,,
5229,"Burtt Davy, J.",5050,Wahlenbergia sp.,South Africa,Transvaal,VEREENIGING; LEEUKUIL,,,0,0,Gauteng,y
5253,"Prosser, L.N.",1117,Wahlenbergia androsacea A.DC.,South Africa,Transvaal,RIETVALLEI; KLEIN JUKSKEI,,,0,0,,
5429,"van Vuuren, D.R.J.",229,Laggera crispata (Vahl) Hepper & J.R.I.Wood,South Africa,Transvaal,BRITS DIST.; MAGALIESBERG; JACKSONSTUIN KLOOF NABY WATER,1/4dg,2527DB,-25.62166,27.87166,North West,y
5653,"Schlechter, F.R.R.",3321,Euryops laxus (Harv.) Burtt Davy,South Africa,Transvaal,HOUTBOSCHRAND,,,0,0,,
5658,"Schlechter, F.R.R.",3323,Euryops laxus (Harv.) Burtt Davy,South Africa,Transvaal,HOUTBOSCHRAND,,,0,0,,
5691,"Rogers, F.A.",24837,Euryops transvaalensis Klatt subsp. transvaalensis,South Africa,Transvaal,POKWANI,,,0,0,,
5751,"Schlechter, F.R.R.",4731,Euryops pedunculatus N.E.Br.,South Africa,Transvaal,MPORUE MT,,,0,0,,
5881,"Leendertz, R.",804,Helichrysum argyrosphaerum DC.,South Africa,Transvaal,WATERVAL RIVER,,,0,0,,
6158,"van Vuuren, D.R.J.",518,Bidens bipinnata L.,South Africa,Transvaal,BRITS DIST.; SCHEERPOORT; SUIDLIGGENDE KLOOF,1/4dg,2527DD,-25.87166,27.87166,North West,y
6170,"Coetzee, B.J.",742,Bidens bipinnata L.,South Africa,Transvaal,GLADYSVALE; WATERVALBOS; UITKOMST 499 JQ,1/4dg,2527DD,-25.87166,27.87166,,
6233,"Galpin, E.E.",14886,Bidens kirkii (Oliv. & Hiern) Sherff,South Africa,Transvaal,ZOUTPANSBERG; FRANSCHHOEK PASS; SUMMIT OF FRANZ HOEK PASS,,,0,0,,
6454,"Lansdell, K.A.",PRE 841(cult),Schkuhria pinnata (Lam.) Kuntze ex Thell.,South Africa,Transvaal,"Division of Botany , 590 Vermeulen St. Pretoria",,,0,0,Gauteng,y
6696,Drege,5048,Schistostephium hippiifolium (DC.) Hutch.,South Africa,Transvaal,OMURAMBA,,,0,0,,
6758,"Pole-Evans, I.B.",PRE 15782,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,SILKAATSNEK,1/4dg,2527DB,-25.62166,27.87166,,
6762,"Acocks, J.P.H.",8642,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,MIDDELBURG DIV; IN THE CARLTON HILLS BETWEEN CARLTON ANDLUDLOW,,,0,0,,
6765,"Pole-Evans, I.B.",H 15782,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,SILKAATSNEK,1/4dg,2527DB,-25.62166,27.87166,,
6771,"Coetzee, B.J.",137,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,UITKOMST 499 TO FARM; BOONSTE DEEL VAN MEES S. O. W. KLOFIE,1/4dg,2527DD,-25.87166,27.87166,,
6773,"Scheepers, J.C.",1592,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,JOHANNESBURG DIST.; GREYLINGSTAD; SYFERFONTEIN FARM NR. ROODEPOORT BOUNDAR2 MI. S.S.W. OF GREYLINGSTAD,1dg,2628,-26.5,28.86666,Gauteng,y
6777,"Phillips, J.F.V.",PRE 43592,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,GROENKLOOF FOR. AREA,,,0,0,,
6839,"Obermeyer, A.A.",TRV 31013,Wahlenbergia magaliesbergensis Lammers,South Africa,Transvaal,MAGALIESBERG; RUSTENBURG DIST.; JACKSONSTUIN,,,0,0,North West,y
6840,"Obermeyer, A.A.",414,Wahlenbergia magaliesbergensis Lammers,South Africa,Transvaal,MAGALIESBERG; RUSTENBURG DIST.; JACKSONSTUIN,,,0,0,North West,y
6841,"Obermeyer, A.A.",TRV 31012,Wahlenbergia magaliesbergensis Lammers,South Africa,Transvaal,MAGALIESBERG; RUSTENBURG DIST.; JACKSONSTUIN.,,,0,0,North West,y
6842,"Young, R.G.N.",TRV 26881,Wahlenbergia magaliesbergensis Lammers,South Africa,Transvaal,PRETORIA DIST.; HARTEBEESTPOORT DAM; COMMANDOS NEK NR. DAM,1/4dg,2527DD,-25.87166,27.87166,Gauteng,y
6843,"Obermeyer, A.A.",3,Wahlenbergia magaliesbergensis Lammers,South Africa,Transvaal,MAGALIESBERG; DASPOORT,,,0,0,North West,y
6848,"Codd, L.E.W.",2688,Wahlenbergia magaliesbergensis Lammers,South Africa,Transvaal,MAGALIESBERG; RUSTENBURG DIST.; BREEDTSNEK,,,0,0,North West,y
6849,"Repton, J.E.",439,Wahlenbergia magaliesbergensis Lammers,South Africa,Transvaal,MAGALIESBERG; RUSTENBURG DIST.,,,0,0,North West,y
7727,Curator Pretoria Bot. Garden,PRE 43567,Tagetes minuta L.,South Africa,Transvaal,BOTANICAL RESEARCH I,,,0,0,,
7967,"Acocks, J.P.H.",44,Schistostephium crataegifolium (DC.) Fenzl ex Harv.,South Africa,Transvaal,WATERBERG DIST.; NOOITGEDACHT 699,,,0,0,Limpopo,y
8213,"Flanagan, H.G.",1477,Wahlenbergia denticulata (Burch.) A.DC. var. denticulata,South Africa,Transvaal,HEBRON; VAAL RIVER,,,0,0,,
8214,"Rogers, F.A.",18728,Wahlenbergia denticulata (Burch.) A.DC. var. denticulata,South Africa,Transvaal,RUSTENBURG,1/4dg,2527BA,-25.12166,27.62166,North West,
8219,"Rogers, F.A.",22525,Wahlenbergia denticulata (Burch.) A.DC. var. denticulata,South Africa,Transvaal,ZOEKMEKAAR,,,0,0,,
8225,"Leistner, O.A.",169,Wahlenbergia denticulata (Burch.) A.DC. var. denticulata,South Africa,Transvaal,WATERBERG DIST.; KAREEFONTEIN; 2 MI. N. OF KAREEFONTEIN,,,0,0,Limpopo,y
8269,"Acocks, J.P.H.",12584,Wahlenbergia denticulata (Burch.) A.DC. var. transvaalensis,South Africa,Transvaal,BLOEMHOF DIST.; 13 MI. S. OF BLOEMHOF,,,0,0,North West,y
8272,"Burtt Davy, J.",14049,Wahlenbergia denticulata (Burch.) A.DC. var. transvaalensis,South Africa,Transvaal,BETW. ZWARTFONTEIN AND GELUK,,,0,0,,
8280,"Louw, W.J.",1327,Wahlenbergia denticulata (Burch.) A.DC. var. transvaalensis,South Africa,Transvaal,WITKOP DIST.; VAAL RIVER; ABOVE VAAL RIVER,,,0,0,,
8297,Drege,5086,Spilanthes mauritiana (Pers.) DC.,South Africa,Transvaal,BETW. OMTALI AND OMAMVUBO,,,0,0,,
8421,"Rogers, F.A.",11544,Wahlenbergia huttonii (Sond.) Thulin,South Africa,Transvaal,VLAKFONTEIN,,,0,0,,
8725,"Schlechter, F.R.R.",3746,Searsia gracillima (Engl.) Moffett var. glaberrima (Schonlan,South Africa,Transvaal,WILGE RIVER,,,0,0,,
8779,"Edwards, H.W.G.",63,Helichrysum candolleanum H.Buek,South Africa,Transvaal,CRESCENT HILL.,,,0,0,,
8863,"Phillips, J.F.V.",40,Helichrysum lepidissimum S.Moore,South Africa,Transvaal,HEKPOORT,1/4dg,2527DC,-25.87166,27.62166,,
8921,"Repton, J.E.",1086,Helichrysum lepidissimum S.Moore,South Africa,Transvaal,MAGALIESBERG; RUSTENBURG DIST.; BREEDTS NEK UPPER SLOPES,1/4dg,2527CD,-25.87166,27.37166,North West,y
9369,"Pole-Evans, I.B.",H13544,Schkuhria pinnata (Lam.) Kuntze ex Thell.,South Africa,Transvaal,KAALFONTEIN,,,0,0,,
9372,"van Vuuren, D.R.J.",447,Schkuhria pinnata (Lam.) Kuntze ex Thell.,South Africa,Transvaal,MAGALIESBERG; BRITS DIST.; JACSONSTUIN N. LIGGENDE KLOOF,,,0,0,North West,y
9625,"Leistner, O.A.",173,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,WATERBERG DIST.; GEELHOUTKLOOF; 7 MI. S. W. OF GEELHOUTKLOOF,,,0,0,Limpopo,y
9627,"du Plessis, C.J.",627,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,MIDDELBURG; SCHOONSPRUIT; DOORNKOP 273 F.S.,1dg,2529,-25.5,29.11666,,
9647,"Coetzee, B.J.",636,Artemisia afra Jacq. ex Willd. var. afra,South Africa,Transvaal,SWARTARENDNES; UITKOMST 499 JQ PLAAS,1/4dg,2527DD,-25.87166,27.87166,,
9796,"Rogers, F.A.",11548,Cyphia elata Harv. var. glabra Harv.,South Africa,Transvaal,VLAKFONTEIN,,,0,0,,
9804,"van der Schijff, H.P.",2541,Cyphia elata Harv. var. glabra Harv.,South Africa,Transvaal,KRUGER NAT. PARK; BOULDERS,,,0,0,,
10260,"Burtt Davy, J.",10888,Wahlenbergia nodosa (H.Buek) Lammers,South Africa,Transvaal,SMITSKRAAL,,,0,0,,
10261,"Flanagan, H.G.",1465,Wahlenbergia nodosa (H.Buek) Lammers,South Africa,Transvaal,HEBRON; VAAL RIVER,,,0,0,,
10748,"van Niekerk, M.",TRV 7562,Helichrysum cephaloideum DC.,South Africa,Transvaal,GREAT OLIFANTS RIVER,,,0,0,,
10796,"Coetzee, B.J.",702,Helichrysum cephaloideum DC.,South Africa,Transvaal,UITKOMST 499 JQ; S. DEEL VAN KRUINGEBIED S. VAN DUTEMBWE AANSLUITING,1/4dg,2527DC,-25.87166,27.62166,,
10851,"Schlechter, F.R.R.",4730,Helichrysum cephaloideum DC.,South Africa,Transvaal,MPORUE MT,,,0,0,,
11438,"Acocks, J.P.H.",16184,Lobelia dregeana (C.Presl) A.DC.,South Africa,Transvaal,VEREENIGING DIST.; LEEUWKUIL RES STA,,,0,0,Gauteng,y
11467,"Coetzee, B.J.",281,Lobelia erinus L.,South Africa,Transvaal,SKEERPOORT RIVER; UITKOMST 499 JQ FARM ONDERKANT WATERVAL,1/4dg,2527DD,-25.87166,27.87166,,
11468,"Coetzee, B.J.",326,Lobelia erinus L.,South Africa,Transvaal,SKEERPOORT RIVER; UITKOMST 499 JQ FARM TUSSEN DUNNINGKAMP EN WATERVAL,1/4dg,2527DD,-25.87166,27.87166,,
11546,"Leendertz, R.",TRV 5083,Lobelia erinus L.,South Africa,Transvaal,WATERVAL RIVER,,,0,0,,
11622,"Jenkins, T.J.",TRV 7541,Lobelia erinus L.,South Africa,Transvaal,BOKFONTEIN,1/4dg,2527DB,-25.62166,27.87166,,
11739,"Meeuse, A.D.J.",9273,Cyphia rogersii S.Moore subsp. rogersii,South Africa,Transvaal,MAGALIESBERG; ELANDSFONTEIN; KASTEELPOORT (CASTLE GORGE) NR. ELANDSFONTEIN RUSTENBURG/BRITS DIST.,,,0,0,North West,y
11754,"Connell, M.E.",87,Cyphia stenopetala Diels,South Africa,Transvaal,MAGALIESBURG DIST; MALONEYS EYE,,,0,0,,
11768,"Pole-Evans, I.B.",PRE 17567,Cyphia stenopetala Diels,South Africa,Transvaal,KAALFONTEIN,,,0,0,,
11779,"Jenkins, T.J.",TRV 12727,Cyphia stenopetala Diels,South Africa,Transvaal,CROCODILE RIVER,,,0,0,,
13240,"Phillips, J.F.V.",63,Cyphia assimilis Sond.,South Africa,Transvaal,HEKPOORT,1/4dg,2527DC,-25.87166,27.62166,,
13242,"van Vuuren, D.R.J.",486,Cyphia assimilis Sond.,South Africa,Transvaal,MAGALIESBERG; BRITS DIST; SCHEERPOORT,,,0,0,North West,y
14269,"Rogers, F.A.",19904,Phymaspermum athanasioides (S.Moore) Kallersjo,South Africa,Transvaal,ZOEKMEKAAR,,,0,0,,
14313,Coetzee,225,Phymaspermum bolusii (Hutch.) Kallersjo,South Africa,Transvaal,UITKOMST 499 JQ PLAA; BOKANT SLANGSPRUIT AAN DIE WESKANT DAAR VAN REGOOR EINDE VAN DOODLOOPPAD AAN,1/4dg,2527DD,-25.87166,27.87166,,
14614,"Gilmore, J.G.G.",2105 A,Lobelia flaccida (C.Presl) A.DC. subsp. flaccida,South Africa,Transvaal,COALBROOK,,,0,0,,
15021,"Phillips, J.F.V.",534,Helichrysum aureum (Houtt.) Merr. var. monocephalum (DC.) Hi,South Africa,Transvaal,OBERHOLTZE; NR. OBERHOLTZE,,,0,0,,
15314,"Pole-Evans, I.B.",4280,Phymaspermum acerosum (DC.) Kallersjo,South Africa,Transvaal,BETWEEN LYDENBURG AND DULLSTROOM,,,0,0,Mpumalanga,y
15599,"Obermeyer, A.A.",TRV 31970,Crassocephalum crepidioides (Benth.) S.Moore,South Africa,Transvaal,PIETERSBURG DIST.; HOUTBOSCHKLOOF; WOODBUSCH,,,0,0,Limpopo,y
15605,"Galpin, E.E.",905,Crassocephalum crepidioides (Benth.) S.Moore,South Africa,Transvaal,MAKWONGWA FOR,,,0,0,,
15628,"Breijer, H.G.",TRV 15200,Crassocephalum x picridifolium (DC.) S.Moore,South Africa,Transvaal,MALMANIOOG,,,0,0,,
15633,"Young, R.G.N.",PRE 44048,Crassocephalum x picridifolium (DC.) S.Moore,South Africa,Transvaal,LOUIS TRICHARDT DIST; TOWN LANDS,,,0,0,,
15655,"Vahrmeijer, J.",1552,Cineraria aspera Thunb.,South Africa,Transvaal,POTCHEFSTROOM DIST.; OBERHOLZER; 1MI. DUE W. OF OBERHOLZER ON RD. TO VENTERSDORP,,,0,0,North West,y
15656,"Sidey, J.L.",1663,Cineraria aspera Thunb.,South Africa,Transvaal,WAKKERSTROOM DIST.; HLANGAPIES MTS.,,,0,0,Mpumalanga,y
15657,"Devenish, N.J.",1329,Cineraria aspera Thunb.,South Africa,Transvaal,WAKKERSTROOM DIST.; GOUDHOEK FARM,1dg,2730,-27.5,30.61666,Mpumalanga,y
15658,"Coetzee, B.J.",713,Cineraria aspera Thunb.,South Africa,Transvaal,OORBIETJIEKOPPIE; UITKOMST 499 JO PLAAS,1/4dg,2527DD,-25.87166,27.87166,,
15662,"Gilmore, J.G.G.",1791,Cineraria aspera Thunb.,South Africa,Transvaal,JOHANNESBURG DIST.; NEAR KENSINGTON GOLF CLUB,,,0,0,Gauteng,y
15663,"Murray, D.P.",559,Cineraria aspera Thunb.,South Africa,Transvaal,KRUGERSDORP DIST.; WITPOORTJIE,,,0,0,Gauteng,y
15833,"Burtt Davy, J.",67,Lobelia thermalis Thunb.,South Africa,Transvaal,MALMANIE,,,0,0,,
15843,"Schlechter, F.R.R.",3688,Lobelia thermalis Thunb.,South Africa,Transvaal,MAGALIESBERG,,,0,0,North West,
15852,"Putterill, V.A.",PRE 16182,Lobelia thermalis Thunb.,South Africa,Transvaal,DE KROON,,,0,0,,
15991,"Codd, L.E.W.",3967,Lobelia aquaemontis E.Wimm.,South Africa,Transvaal,WATERBERG DIST.; WATERBERG MTS.; GROOTHOEK 1246 FARM W. EXTREIMTY OF WATERBERG MT.,,,0,0,Limpopo,y
15992,"Codd, L.E.W.",8775,Lobelia aquaemontis E.Wimm.,South Africa,Transvaal,PIETERSBURG DIST.; BLAAUWBERG; IN KLOOF LEADING TO TRIG. BEACON,,,0,0,Limpopo,y
15993,"Codd, L.E.W.",9058,Lobelia aquaemontis E.Wimm.,South Africa,Transvaal,PIETERSBURG DIST.; BLAAUWBERG; NR. TRIG. BEACON,,,0,0,Limpopo,y
15995,"Meeuse, A.D.J.",10402,Lobelia aquaemontis E.Wimm.,South Africa,Transvaal,WATERBERG DIST.; KRANSBERG; NR. GROOTHOEK KLOOF ABOVE FARMHOUSE ABOUT 6 MI. E. OF CROSS-RD. ROOIBERG-,,,0,0,Limpopo,y
16008,"Dehnke, H.",TRV 32025,Lobelia thermalis Thunb.,South Africa,Transvaal,PRETORIA DIST.; HEBRON,1/4dg,2528AA,-25.12166,28.12166,Gauteng,y
16009,"Leendertz, R.",740,Lobelia thermalis Thunb.,South Africa,Transvaal,SCHEERPOORT,1/4dg,2527DD,-25.87166,27.87166,,
16010,"Leendertz, R.",TRV 7979,Lobelia thermalis Thunb.,South Africa,Transvaal,RUSTENBURG,1/4dg,2527BA,-25.12166,27.62166,North West,
16011,"Nelson, W.C.",240 (TRV 11715),Lobelia thermalis Thunb.,South Africa,Transvaal,MAQUASSIE HILLS,,,0,0,,
16017,"Schlechter, F.R.R.",TRV 5397,Lobelia thermalis Thunb.,South Africa,Transvaal,MAGALIESBERG,,,0,0,North West,
16018,"Nelson, W.C.",206 (TRV 11707),Lobelia thermalis Thunb.,South Africa,Transvaal,VAAL RIVER,,,0,0,,
16112,"Jenkins, T.J.",TRV 12720,Helichrysum difficile Hilliard,South Africa,Transvaal,OLIFANTS RIVER,,,0,0,,
16115,"Jenkins, T.J.",TRV 12721,Helichrysum difficile Hilliard,South Africa,Transvaal,OLIFANTS RIVER,,,0,0,,
