BRAHMS,COLLECTOR,NUMBER,SPECIES,COUNTRY,MAJORAREA,LOCNOTES,LLRES,QDS,LATDEC,LONGDEC,updatedProv,Check
315841,"Botha, D.J.",1061,Searsia discolor (E.Mey. ex Sond.) Moffett,South Africa,Transvaal,40 KM. SO.VAN ERMELO OP PAD NA AMSTERDAM,1dg,2630,-26.5,30.36666,Mpumalanga,y
315930,"Balsinhas, A.A.",2807,Vepris trichocarpa (Engl.) Mziray,South Africa,Transvaal,MAPELANA; LITTORAL FOR.,1/4dg,2832AD,-28.37166,32.37166,KwaZulu-Natal,y
315952,"Botha, D.J.",1324,Pterocelastrus echinatus N.E.Br.,South Africa,Transvaal,BLYDE RIVER; UITSIGPUNT,1/4dg,2430DB,-24.62166,30.87166,,
316020,"Venter, S.",624,Grewia occidentalis L. var. occidentalis,South Africa,Transvaal,MAGALIESBURG; BEKKER FARMING SCHOO; AAN VOET VAN KOPPIE AGTER SEUNS KOSHUIS,1/4dg,2527DC,-25.87166,27.62166,,
316119,"Balsinhas, A.A.",2808,Chrysophyllum sp.,South Africa,Transvaal,MAPELANA,1/4dg,2831AD,-28.37166,31.37166,KwaZulu-Natal,y
316242,"Venter, S.",761,Searsia zeyheri (Sond.) Moffett,South Africa,Transvaal,MAGALIESBERG; HARTEBEESTPOORT DAM; NET W. VAN KOSMOS NABY HARTEBEESPOORTDAMIN KLOOF BO STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
316246,"Venter, S.",607,Searsia discolor (E.Mey. ex Sond.) Moffett,South Africa,Transvaal,MAGALIESBURG; BEKKER FARMING SCHOO; AAN VOET VAN KOPPIE AGTER SKOOL,1/4dg,2527DC,-25.87166,27.62166,,
316540,"Venter, S.",635,Grewia occidentalis L. var. occidentalis,South Africa,Transvaal,MAGALIESBURG; AAN VOET VAN KOPPIE AGTER SKOOL,1/4dg,2527DC,-25.87166,27.62166,,
316541,"Venter, S.",633,Grewia occidentalis L. var. occidentalis,South Africa,Transvaal,"MAGALIESBURG; AAN VOET VAN KOPPIE AGTER SKOOL , 30 KM.VANAF HEK",1/4dg,2527DC,-25.87166,27.62166,,
316582,"Stirton, C.H.",1342,Asclepias aurea (Schltr.) Schltr.,South Africa,Transvaal,41 KM. FROM AMSTERDAM TO PIET RETIEF,,,0,0,Mpumalanga,y
316640,"Stirton, C.H.",210,Antherotoma debilis (Sond.) Jacq.-Fel.,South Africa,Transvaal,GRAND CENTRAL AIRPOR,,,0,0,,
316862,"Botha, D.J.",1346,Pterocelastrus echinatus N.E.Br.,South Africa,Transvaal,BLYDE RIVER; BOKANT BLYDERIVIER,1/4dg,2430DB,-24.62166,30.87166,,
317061,"Devenish, N.J.",1503,Oenothera tetraptera Cav.,South Africa,Transvaal,PIET RETIEF DIST; MOOIHOEK; NR. FARMYARD,1/2dg,2730B,-27.25,30.75,Mpumalanga,y
317151,"de Villiers, P.",83,Fadogia tetraquetra K.Krause var. grandiflora (Robyns) Verdc,South Africa,Transvaal,FH ODENDAAL CAMP; RANTJIESVELD,1/4dg,2430DB,-24.62166,30.87166,,
317153,"Botha, D.J.",1296,Cephalanthus sp.,South Africa,Transvaal,BLYDEPOORT; F.A. ODENDAALRUSKAMP WESTELIKE KANT VAN RIVIER,1/4dg,2430DB,-24.62166,30.87166,,
317155,"Botha, D.J.",1355,Kohautia sp.,South Africa,Transvaal,BLYDEPOORT; BLYDE RIVER; VLIEGVELD,1/4dg,2430DB,-24.62166,30.87166,,
317173,"Codd, L.E.W.",5648,Brachystelma stellatum E.A.Bruce & R.A.Dyer,South Africa,Transvaal,LYDENBURG DIST.; 13 MI. E. OF LYDENBURG,,,0,0,Mpumalanga,y
317178,"Codd, L.E.W.",3292,Brachystelma thunbergii N.E.Br.,South Africa,Transvaal,20 KM. E. OF LYDENBURG,,,0,0,Mpumalanga,y
317217,"van der Schijff, H.P.",43,Sesamum alatum Thonn.,South Africa,Transvaal,KRUGER NAT. PARK; NUMBI GATE; W. VAN HEK,,,0,0,,
317218,"Oakes, A.C.J.",342,Sesamum alatum Thonn.,South Africa,Transvaal,NELSPRUIT DIST.; KRUGER NAT. PARK; OFF NAHPE RD. FROM SKUKUZA,,,0,0,Mpumalanga,y
317382,"Venter, S.",752,Oldenlandia tenella (Hochst.) Kuntze,South Africa,Transvaal,MAGALIESBERG; LINE DRIFT; NET W. VAN KOSMOS IN KLOOF BO STEENMAKERY,1/4dg,2527DB,-25.62166,27.87166,North West,y
317392,"Botha, D.J.",1060,Pygmaeothamnus chamaedendrum (Kuntze) Robyns var. setulosus,South Africa,Transvaal,40 KM. SE. VAN ERMELO OP PAD NA AMSTERDAM,1dg,2630,-26.5,30.11666,Mpumalanga,y
317395,"Devenish, N.J.",1507,Rubia petiolaris DC.,South Africa,Transvaal,PIET RETIEF DIST; MOOIHOEK,1/2dg,2730B,-27.25,30.75,Mpumalanga,y
317471,"le Roux, C.",S 366,Brachystelma circinatum E.Mey.,South Africa,Transvaal,POTCHEFSTROOM DIST.,,,0,0,North West,y
317474,"Keith, M.",A60,Brachystelma circinatum E.Mey.,South Africa,Transvaal,CHRISTIANA DIST.; HOLWATER,,,0,0,North West,y
317480,"Dyer, R.A.",4756,Brachystelma circinatum E.Mey.,South Africa,Transvaal,VENTERSDORP DIST.; SOMMERVILLE FARM 25MI. E. OF VENTERSDORP40 MI. N. OF KRUGERSDORP,,,0,0,Gauteng,y
317617,"Turner, A.",1,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,RUSTENBURG DIST.; BUFFELSPOORT 668,,,0,0,North West,y
317618,"Pole-Evans, I.B.",3510,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,POTGIETERSRUST DIST.; SOMERSET ESTATE FARM,,,0,0,,
317623,"van Vuuren, D.R.J.",1209,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,PIETERSBURG DIST.; UNIVERSITY OF THE NO,,,0,0,Limpopo,y
317625,"Story, R.",766,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,VENTERSDORP DIST.; 4 MI. N. OF VENTERSDORP,,,0,0,North West,y
317626,"Barnard, W.G.",298,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,LYDENBURG DIST.; SEKUKUNILAND,,,0,0,Mpumalanga,y
317630,"Codd, L.E.W.",2752,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,WATERBERG DIST.; 16 MI. N. OF PIENAARS RIVER STA.,,,0,0,Limpopo,y
317632,"Dehnke, H.",TRV 32039,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,PRETORIA DIST.; HEBRON,1/4dg,2528AA,-25.12166,28.12166,Gauteng,y
317634,Mary St.John,16,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,POTGIETERSRUST DIST.,,,0,0,,
317635,"Louw, W.J.",278,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,MARICO DIST.; LEKKERLACH,,,0,0,North West,y
317636,"Schlieben, H-J E",9221,Sesamum triphyllum Welw. ex Asch. var. triphyllum,South Africa,Transvaal,SOUTPANSBERG; SOUTPAN,,,0,0,Limpopo,y
