BRAHMS,COLLECTOR,NUMBER,SPECIES,COUNTRY,MAJORAREA,LOCNOTES,LLRES,QDS,LATDEC,LONGDEC,updatedProv,Check
813,Curator Pretoria Bot. Garden,PRE 43343,Xanthium strumarium L.,South Africa,Transvaal,DIVISION OF BOTANY,,,0,,,y
814,Curator Pretoria Bot. Garden,7924,Xanthium strumarium L.,South Africa,Transvaal,DIVISION OF BOTANY,,,0,0,,y
823,Curator Pretoria Bot. Garden,PRE 43352,Xanthium strumarium L.,South Africa,Transvaal,LABORATORY GROUNDS,,,0,0,,y
828,"van Niekerk, M.",TRV 7523,Callilepis lancifolia Burtt Davy,South Africa,Transvaal,GREAT OLIFANTS RIVER,,,0,0,LP,y
829,"Crawley, V.G.",TRV 10405,Callilepis lancifolia Burtt Davy,South Africa,Transvaal,WOLHUTERSKOP,1/4dg,2527DA,-25.62166,27.62166,MP,y
