BRAHMS,COLLECTOR,NUMBER,SPECIES,COUNTRY,MAJORAREA,LOCNOTES,LLRES,QDS,LATDEC,LONGDEC
813,Curator Pretoria Bot. Garden,PRE 43343,Xanthium strumarium L.,South Africa,Transvaal,DIVISION OF BOTANY,,,0,0
814,Curator Pretoria Bot. Garden,7924,Xanthium strumarium L.,South Africa,Transvaal,DIVISION OF BOTANY,,,0,0
823,Curator Pretoria Bot. Garden,PRE 43352,Xanthium strumarium L.,South Africa,Transvaal,LABORATORY GROUNDS,,,0,0
828,"van Niekerk, M.",TRV 7523,Callilepis lancifolia Burtt Davy,South Africa,Transvaal,GREAT OLIFANTS RIVER,,,0,0
